image1,image2,label
2/1887_001_108_0.jpg,2/3186_001_113_0.jpg,1
2/19443_001_28_0.jpg,2/19477_001_28_0.jpg,1
2/25882_001_54_0.jpg,2/11690_001_14_0.jpg,0
2_augmented/17296_001_19_0.jpg,2/17296_001_19_0.jpg,0
2/31948_001_79_0.jpg,2/31872_001_79_0.jpg,1
2/1683_001_107_0.jpg,2/33105_001_83_1.jpg,1
2_augmented/1302_001_105_1.jpg,2/1302_001_105_1.jpg,0
2_augmented/4343_001_118_1.jpg,2/4343_001_118_1.jpg,0
2_augmented/31882_001_79_0.jpg,2/31882_001_79_0.jpg,0
2_augmented/2790_001_111_0.jpg,2/2790_001_111_0.jpg,0
2_augmented/9611_001_140_1.jpg,2/9611_001_140_1.jpg,0
2/19615_001_28_1.jpg,2/34029_001_87_1.jpg,0
2/29326_001_68_1.jpg,2/30065_001_71_0.jpg,0
2_augmented/15210_001_164_0.jpg,2/15210_001_164_0.jpg,0
2/4803_001_120_0.jpg,2/30586_001_73_0.jpg,0
2/25409_001_52_0.jpg,2/14243_001_15_0.jpg,1
2_augmented/6088_001_126_0.jpg,2/6088_001_126_0.jpg,0
2/13999_001_159_0.jpg,2/13970_001_159_0.jpg,1
2_augmented/7417_001_131_0.jpg,2/7417_001_131_0.jpg,0
2/7474_001_131_0.jpg,2/30666_001_73_1.jpg,0
2/1217_001_105_0.jpg,2/14305_001_15_1.jpg,1
2/36654_001_99_1.jpg,2/32744_001_81_1.jpg,1
2/19854_001_2_0.jpg,2/3579_001_115_0.jpg,1
2/12314_001_151_1.jpg,2/12280_001_151_1.jpg,1
2_augmented/6203_001_126_1.jpg,2/6203_001_126_1.jpg,0
2/33266_001_84_0.jpg,2/31144_001_75_1.jpg,1
2/6017_001_125_1.jpg,2/27014_001_59_0.jpg,1
2/989_001_104_0.jpg,2/28014_001_63_0.jpg,1
2_augmented/28405_001_64_1.jpg,2/28405_001_64_1.jpg,0
2/1402_001_106_0.jpg,2/1436_001_106_0.jpg,1
2/28917_001_66_1.jpg,2/28894_001_66_1.jpg,1
2_augmented/22277_001_39_1.jpg,2/22277_001_39_1.jpg,0
2/5470_001_123_0.jpg,2/13969_001_159_0.jpg,0
2/14700_001_161_1.jpg,2/24373_001_48_0.jpg,1
2_augmented/11251_001_148_0.jpg,2/11251_001_148_0.jpg,0
2/1725_001_107_1.jpg,2/12100_001_150_1.jpg,1
2_augmented/10570_001_144_1.jpg,2/10570_001_144_1.jpg,0
2/9805_001_141_0.jpg,2/16201_001_169_0.jpg,1
2_augmented/14012_001_159_0.jpg,2/14012_001_159_0.jpg,0
2/3569_001_115_0.jpg,2/31141_001_75_1.jpg,1
2_augmented/7547_001_131_1.jpg,2/7547_001_131_1.jpg,0
2/10156_001_143_0.jpg,2/16221_001_169_1.jpg,0
2_augmented/13194_001_155_1.jpg,2/13194_001_155_1.jpg,0
2_augmented/35057_001_91_1.jpg,2/35057_001_91_1.jpg,0
2_augmented/6724_001_128_1.jpg,2/6724_001_128_1.jpg,0
2_augmented/7003_001_12_0.jpg,2/7003_001_12_0.jpg,0
2/23897_001_46_0.jpg,2/26380_001_56_1.jpg,1
2_augmented/12045_001_150_1.jpg,2/12045_001_150_1.jpg,0
2/27720_001_61_1.jpg,2/27739_001_61_1.jpg,1
